Frequencies, 125, 250, 500, 1000, 2000, 4000, 8000, 16000
CR1_absorber, 0.035, 0.231, 0.255, 0.496, 0.463, 0.438, 0.394, 0.306
CR1_absorber, 0.05, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108
CR1_concrete, 0.105, 0.074, 0.051, 0.037, 0.033, 0.033, 0.03, 0.024
CR1_concrete, 0.05, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108
CR1_paintedConcrete, 0.009, 0.013, 0.019, 0.016, 0.015, 0.016, 0.013, 0.001
CR1_paintedConcrete, 0.05, 0.05, 0.05, 0.06, 0.085, 0.121, 0.171, 0.241
CR1_tablesEquipment, 0.035, 0.221, 0.291, 0.255, 0.243, 0.248, 0.236, 0.191
CR1_tablesEquipment, 0.165, 0.234, 0.331, 0.468, 0.661, 0.935, 0.99, 0.99
CR2_ceiling, 0.083, 0.104, 0.048, 0.049, 0.047, 0.062, 0.05, 0.049
CR2_ceiling, 0.074, 0.105, 0.148, 0.209, 0.296, 0.418, 0.591, 0.836
CR2_concrete, 0.085, 0.075, 0.056, 0.059, 0.059, 0.044, 0.041, 0.037
CR2_concrete, 0.05, 0.05, 0.05, 0.06, 0.085, 0.121, 0.171, 0.241
CR2_floor, 0.071, 0.091, 0.07, 0.065, 0.062, 0.043, 0.033, 0.029
CR2_floor, 0.05, 0.05, 0.05, 0.05, 0.066, 0.094, 0.132, 0.187
CR2_plaster, 0.033, 0.05, 0.039, 0.044, 0.048, 0.036, 0.028, 0.036
CR2_plaster, 0.05, 0.05, 0.05, 0.066, 0.094, 0.132, 0.187, 0.265
CR2_windows, 0.175, 0.073, 0.049, 0.057, 0.133, 0.055, 0.053, 0.037
CR2_windows, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108, 0.153
CR3_ceiling, 0.084, 0.08, 0.114, 0.111, 0.107, 0.185, 0.144, 0.121
CR3_ceiling, 0.05, 0.06, 0.085, 0.121, 0.171, 0.241, 0.341, 0.483
CR3_floor, 0.062, 0.077, 0.064, 0.054, 0.043, 0.061, 0.078, 0.094
CR3_floor, 0.05, 0.05, 0.051, 0.071, 0.101, 0.143, 0.202, 0.286
CR3_plaster, 0.149, 0.131, 0.131, 0.107, 0.095, 0.139, 0.121, 0.11
CR3_plaster, 0.05, 0.05, 0.05, 0.066, 0.094, 0.132, 0.187, 0.265
CR3_seating, 0.228, 0.344, 0.405, 0.347, 0.459, 0.318, 0.41, 0.482
CR3_seating, 0.213, 0.302, 0.427, 0.604, 0.854, 0.99, 0.99, 0.99
CR3_stagePanels, 0.043, 0.08, 0.085, 0.078, 0.07, 0.108, 0.099, 0.1
CR3_stagePanels, 0.05, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108
CR3_structuredPlaster, 0.133, 0.115, 0.151, 0.151, 0.136, 0.139, 0.121, 0.11
CR3_structuredPlaster, 0.067, 0.095, 0.135, 0.191, 0.27, 0.382, 0.54, 0.764
CR3_windows, 0.166, 0.096, 0.07, 0.058, 0.107, 0.076, 0.082, 0.079
CR3_windows, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108, 0.153
CR4_brickwall, 0.188, 0.097, 0.198, 0.079, 0.205, 0.155, 0.214, 0.217
CR4_brickwall, 0.052, 0.074, 0.105, 0.148, 0.209, 0.296, 0.418, 0.591
CR4_concrete, 0.08, 0.069, 0.071, 0.067, 0.037, 0.05, 0.067, 0.063
CR4_concrete, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108, 0.153, 0.216
CR4_linoleum, 0.109, 0.083, 0.072, 0.066, 0.109, 0.092, 0.064, 0.074
CR4_linoleum, 0.05, 0.05, 0.05, 0.06, 0.085, 0.121, 0.171, 0.241
CR4_parquet, 0.057, 0.042, 0.034, 0.049, 0.074, 0.104, 0.074, 0.075
CR4_parquet, 0.05, 0.05, 0.05, 0.06, 0.085, 0.121, 0.171, 0.241
CR4_seating, 0.091, 0.239, 0.291, 0.301, 0.27, 0.354, 0.298, 0.352
CR4_seating, 0.213, 0.302, 0.427, 0.604, 0.854, 0.99, 0.99, 0.99
CR4_whitePanels, 0.091, 0.068, 0.057, 0.089, 0.081, 0.083, 0.054, 0.071
CR4_whitePanels, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108, 0.153
CR4_windows, 0.14, 0.072, 0.053, 0.049, 0.083, 0.051, 0.049, 0.053
CR4_windows, 0.05, 0.05, 0.05, 0.05, 0.054, 0.076, 0.108, 0.153
CR4_woodPanels, 0.071, 0.148, 0.158, 0.124, 0.108, 0.128, 0.101, 0.14
CR4_woodPanels, 0.052, 0.074, 0.105, 0.148, 0.209, 0.296, 0.418, 0.591
